Date,Open,High,Low,Close,Adj Close,Volume
2001-09-14,0.780000,0.780000,0.700000,0.700000,0.272685,765750
2001-09-17,0.620000,0.640000,0.600000,0.620000,0.241521,828750
2001-09-18,0.680000,0.720000,0.620000,0.660000,0.257103,1348250
2001-09-19,0.680000,0.740000,0.640000,0.740000,0.288267,999250
2001-09-20,0.700000,0.700000,0.660000,0.660000,0.257103,461250
2001-09-21,0.640000,0.640000,0.620000,0.620000,0.241521,296000
2001-09-24,0.620000,0.620000,0.620000,0.620000,0.241521,0
2001-09-25,0.680000,0.680000,0.640000,0.640000,0.249312,603250
2001-09-26,0.640000,0.680000,0.640000,0.660000,0.257103,326250
2001-09-27,0.640000,0.740000,0.640000,0.720000,0.280476,1287500
2001-09-28,0.720000,0.720000,0.720000,0.720000,0.280476,0
2001-10-01,0.780000,0.780000,0.740000,0.740000,0.288267,542500
2001-10-02,0.720000,0.740000,0.700000,0.740000,0.288267,358500
2001-10-03,0.740000,0.760000,0.700000,0.700000,0.272685,400000
2001-10-04,0.740000,0.760000,0.740000,0.740000,0.288267,779750
2001-10-05,0.740000,0.780000,0.720000,0.720000,0.280476,1153250
2001-10-08,0.720000,0.720000,0.680000,0.700000,0.272685,318750
2001-10-09,0.720000,0.740000,0.720000,0.720000,0.280476,279250
2001-10-10,0.720000,0.720000,0.700000,0.700000,0.272685,153500
2001-10-11,0.740000,0.760000,0.720000,0.760000,0.296058,443000
2001-10-12,0.760000,0.800000,0.760000,0.780000,0.303849,1251500
2001-10-15,0.760000,0.780000,0.760000,0.760000,0.296058,246000
2001-10-16,0.740000,0.780000,0.740000,0.780000,0.303849,22500
2001-10-17,0.780000,0.940000,0.780000,0.940000,0.366177,3451750
2001-10-18,0.900000,0.980000,0.880000,0.900000,0.350595,2811250
2001-10-19,0.920000,0.940000,0.840000,0.840000,0.327222,1897250
2001-10-22,0.860000,0.880000,0.840000,0.860000,0.335013,534250
2001-10-23,0.880000,0.900000,0.880000,0.880000,0.342804,1192750
2001-10-24,0.860000,0.880000,0.860000,0.860000,0.335013,722500
2001-10-25,0.880000,0.900000,0.840000,0.840000,0.327222,981000
2001-10-26,0.860000,0.920000,0.860000,0.860000,0.335013,2617250
2001-10-29,0.880000,0.880000,0.860000,0.860000,0.335013,393250
2001-10-30,0.840000,0.840000,0.820000,0.820000,0.319431,402750
2001-10-31,0.820000,0.840000,0.820000,0.820000,0.319431,468250
2001-11-01,0.840000,0.840000,0.800000,0.800000,0.311640,649500
